CP,epoch,condition,monkey,area,band
0.4929773703175684,baseline,pre,LAV,V4,low_gamma
0.4764045530427436,baseline,post,LAV,V4,low_gamma
0.5057432277990146,stimulus,pre,LAV,V4,low_gamma
0.5093839400908879,stimulus,post,LAV,V4,low_gamma
0.515951639149039,delay,pre,LAV,V4,low_gamma
0.5097838196927116,delay,post,LAV,V4,low_gamma
0.48166033866240004,baseline,pre,ARY,V4,low_gamma
0.4971080161417188,baseline,post,ARY,V4,low_gamma
0.5651815721974838,stimulus,pre,ARY,V4,low_gamma
0.538401710200823,stimulus,post,ARY,V4,low_gamma
0.4952836109501333,delay,pre,ARY,V4,low_gamma
0.49769787618621025,delay,post,ARY,V4,low_gamma
0.4794301613210852,baseline,pre,CLU,MT,low_gamma
0.5051263652229878,baseline,post,CLU,MT,low_gamma
0.5021083051537562,stimulus,pre,CLU,MT,low_gamma
0.500988790375849,stimulus,post,CLU,MT,low_gamma
0.5002993366380996,delay,pre,CLU,MT,low_gamma
0.5022564203486966,delay,post,CLU,MT,low_gamma
0.5130015460157968,baseline,pre,YTU,MT,low_gamma
0.5095328060830989,baseline,post,YTU,MT,low_gamma
0.5318278935779198,stimulus,pre,YTU,MT,low_gamma
0.5346777700511516,stimulus,post,YTU,MT,low_gamma
0.49287849598590733,delay,pre,YTU,MT,low_gamma
0.4985951271606346,delay,post,YTU,MT,low_gamma
